n:58 mse_avg:1167.50 mse_y:1740.80 mse_u:19.64 mse_v:22.15 psnr_avg:17.46 psnr_y:15.72 psnr_u:35.20 psnr_v:34.68 
n:59 mse_avg:1164.36 mse_y:1736.09 mse_u:19.90 mse_v:21.93 psnr_avg:17.47 psnr_y:15.74 psnr_u:35.14 psnr_v:34.72 
n:60 mse_avg:1174.60 mse_y:1751.40 mse_u:19.92 mse_v:22.09 psnr_avg:17.43 psnr_y:15.70 psnr_u:35.14 psnr_v:34.69 
n:61 mse_avg:1347.73 mse_y:2009.21 mse_u:23.49 mse_v:26.03 psnr_avg:16.83 psnr_y:15.10 psnr_u:34.42 psnr_v:33.98 
n:62 mse_avg:1482.12 mse_y:2209.79 mse_u:24.60 mse_v:28.94 psnr_avg:16.42 psnr_y:14.69 psnr_u:34.22 psnr_v:33.52 
n:63 mse_avg:1513.61 mse_y:2256.66 mse_u:25.62 mse_v:29.39 psnr_avg:16.33 psnr_y:14.60 psnr_u:34.04 psnr_v:33.45 
n:64 mse_avg:1571.00 mse_y:2342.13 mse_u:26.33 mse_v:31.15 psnr_avg:16.17 psnr_y:14.43 psnr_u:33.93 psnr_v:33.20 
n:65 mse_avg:1483.77 mse_y:2211.86 mse_u:24.97 mse_v:30.21 psnr_avg:16.42 psnr_y:14.68 psnr_u:34.16 psnr_v:33.33 
n:66 mse_avg:1407.92 mse_y:2098.47 mse_u:23.99 mse_v:29.69 psnr_avg:16.65 psnr_y:14.91 psnr_u:34.33 psnr_v:33.40 
n:67 mse_avg:1295.17 mse_y:1930.26 mse_u:22.19 mse_v:27.77 psnr_avg:17.01 psnr_y:15.27 psnr_u:34.67 psnr_v:33.70 
n:68 mse_avg:1272.80 mse_y:1897.13 mse_u:21.14 mse_v:27.15 psnr_avg:17.08 psnr_y:15.35 psnr_u:34.88 psnr_v:33.79 
n:69 mse_avg:1252.62 mse_y:1867.04 mse_u:20.92 mse_v:26.60 psnr_avg:17.15 psnr_y:15.42 psnr_u:34.92 psnr_v:33.88 
n:70 mse_avg:1215.76 mse_y:1811.89 mse_u:20.58 mse_v:26.44 psnr_avg:17.28 psnr_y:15.55 psnr_u:35.00 psnr_v:33.91 
n:71 mse_avg:1152.81 mse_y:1718.13 mse_u:19.31 mse_v:24.99 psnr_avg:17.51 psnr_y:15.78 psnr_u:35.27 psnr_v:34.15 
n:72 mse_avg:1118.82 mse_y:1667.48 mse_u:18.69 mse_v:24.33 psnr_avg:17.64 psnr_y:15.91 psnr_u:35.41 psnr_v:34.27 
n:73 mse_avg:1044.35 mse_y:1555.98 mse_u:18.03 mse_v:24.19 psnr_avg:17.94 psnr_y:16.21 psnr_u:35.57 psnr_v:34.30 
n:74 mse_avg:1017.99 mse_y:1516.68 mse_u:17.61 mse_v:23.61 psnr_avg:18.05 psnr_y:16.32 psnr_u:35.67 psnr_v:34.40 
